ID_Pessoa,ID_Investidor,Nome,catalog_entity_id,catalog_person_id,accao,nota_outra_firma
PER0078,INV010,Sarah Otter,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,9b402dae-f335-4971-b88d-2143e04f7653,ACTUALIZAR,
PER0079,INV010,Maria Raga,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,4599398c-fa8b-48c1-860f-b0be82a1f191,ACTUALIZAR,
PER0080,INV011,Jeppe Zink,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0081,INV011,Jessica Schultz,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0082,INV011,Michiel Kotting,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0083,INV011,Pär-Jörgen Pärson,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0084,INV011,Sam Endacott,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0085,INV011,Sanjot Malhi,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0086,INV011,Wendy Xiao,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0087,INV011,Molly Alter,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0088,INV011,Elena Pantazi,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0089,INV011,Dominik Esen,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0090,INV011,Manavi Mehra,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0091,INV011,Paul Murphy,6ae60053-408a-4425-bc73-907acd7da406,,CRIAR,
PER0092,INV012,Anton Waitz,435c6291-288a-45c5-ab15-4afe310948a0,070adfb4-c295-4735-9ad8-9d4bb73a48e4,ACTUALIZAR,
PER0093,INV012,Uwe Horstmann,435c6291-288a-45c5-ab15-4afe310948a0,953980c8-11df-4d90-b57e-e43b40befdec,ACTUALIZAR,
PER0094,INV012,Florian Heinemann,435c6291-288a-45c5-ab15-4afe310948a0,1e2571de-d70a-4344-a63c-f80c29925fa8,ACTUALIZAR,
PER0095,INV012,Thies Sander,435c6291-288a-45c5-ab15-4afe310948a0,e2beddfc-7eb4-4e26-b92d-37493b2a4fe8,ACTUALIZAR,
PER0096,INV012,Ben Fischer,435c6291-288a-45c5-ab15-4afe310948a0,,CRIAR,
PER0097,INV012,Jack Wang,435c6291-288a-45c5-ab15-4afe310948a0,cb1f550d-f561-4918-b52b-9c06e4ddef17,ACTUALIZAR,
